"gene","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"SASH1",4224.23287094404,1.91751163318755,0.554359992895888,1.03479331903591e-05,0.00047016221617965
"STBD1",42.1534742233418,1.96745632236411,0.563601507183652,1.07518357339136e-05,0.000484657088666942
"EGFR-AS1",50.547140232972,2.9322939450262,0.883018946790973,1.2207947947318e-05,0.000539979366490974
"STX1B",37.5424943322303,-1.23131372300436,0.330850422081887,1.29245185112173e-05,0.000566051535320791
"TREM1",382.992603250037,2.4588220909171,0.747317857429133,1.4023431958764e-05,0.000602331202910513
"TMEM74B",205.575153226605,-1.46918089677283,0.394456129372992,1.46358404825051e-05,0.000622629162946825
"AK4",82.768148622428,1.43518713523818,0.418960971423416,1.67076035129621e-05,0.000695265320019152
"CGB5",968.693821633785,2.61337269380082,0.819171451753397,1.74309104007017e-05,0.000723112115318552
"PIK3CB",1914.29351833937,1.07264652439992,0.309986881796781,1.75430777490433e-05,0.000725512175144644
"GALK1",102.040371898771,1.53377592067473,0.453172052570573,1.81904502049113e-05,0.000749963067398782
"RARRES1",54.5879684281253,2.37739029943898,0.728926370376096,1.91678064416065e-05,0.000778111596124829
"ASMTL-AS1",115.108664782451,-1.08349645580681,0.302928956386743,2.42278280568358e-05,0.000940800369718641
"CD99P1",193.41913145943,-1.16131576125677,0.324426179590126,2.45332469249539e-05,0.000949479332451357
"SH3TC2",5213.82078265884,-1.08749687359581,0.305158286611278,2.59032111502113e-05,0.000985797990155335
"CCNB3",6.78318281189445,-1.64040447747808,0.472730511357509,2.64107124841997e-05,0.00099378675313786
"VEGFA",316.525423530847,1.43399440761607,0.439948022149564,2.63919044464108e-05,0.00099378675313786
"FRZB",887.074386290142,-1.37639495682465,0.386806948133975,2.70700418099099e-05,0.00101573488341791
"SEMA4C",1241.29899032328,1.12525408061517,0.339698230251969,2.78994104775295e-05,0.00103732715685056
